id,type,chapter,title,caption,source_kind,source_path,artifact_path,source_hash,artifact_hash,status,body_or_appendix,last_verified,notes
tab2_4,table,2,"Целевые метрики: stickiness, DAU, retention_d7","Целевые метрики прогнозирования: семантика, шкала, стратегия кросс-валидации и основная метрика качества.",manual,scripts/make_ch2_tables.py,vkr/v2/artifacts/tables/tab2_4.tex,0b71ffcf1148f0cf,8d628c4d7065010e,frozen,body,2026-05-18,
fig3_1,figure,3,"Интуиция ядерной регрессии: точка прогноза, соседи, bandwidth",,custom,scripts/make_fig3_1.py,vkr/v2/artifacts/figures/fig3_1.pdf,adc49aeb2e6cabd2,d9ee789bd344abaf,frozen,body,2026-05-20,
fig3_2,figure,3,Local Linear vs Nadaraya-Watson,,synthetic,scripts/make_fig3_2.py,vkr/v2/artifacts/figures/fig3_2.pdf,de52716261132d02,eee8aa0e80d320ab,frozen,body,2026-05-20,
fig3_3,figure,3,"Recursive forecast с target_lag1, target_lag7",,custom,scripts/make_fig3_3.py,vkr/v2/artifacts/figures/fig3_3.pdf,86cf61987b35e587,59461501c9a5e21d,frozen,body,2026-05-20,
fig3_4,figure,3,Bootstrap / horizon-aware доверительный интервал,,synthetic,scripts/make_fig3_4.py,vkr/v2/artifacts/figures/fig3_4.pdf,5439866b352ad204,482f49bb53e32146,frozen,body,2026-05-20,
fig3_5,figure,3,Counterfactual Monte Carlo scenario analysis,,custom,scripts/make_fig3_5.py,vkr/v2/artifacts/figures/fig3_5.pdf,aa2d7033b1aeaab7,fca8a082f448a121,frozen,body,2026-05-20,
fig3_6,figure,3,SHAP как мост: модель → значимые признаки → сценарии,,custom,scripts/make_fig3_6.py,vkr/v2/artifacts/figures/fig3_6.pdf,a7bee275c1ecfa19,a716ce2451b34c56,frozen,body,2026-05-20,
fig3_7,figure,3,Логика verdict через Mahalanobis distance и bad_share,,custom,scripts/make_fig3_7.py,vkr/v2/artifacts/figures/fig3_7.pdf,dbd21db36746d286,8037f6cfa79835c0,frozen,body,2026-05-20,
tab3_1,table,3,Методы и их роль в работе,,manual,scripts/make_ch3_tables.py,vkr/v2/artifacts/tables/tab3_1.tex,6bc6bd37aa842ffa,999b0900d9063e60,frozen,body,2026-05-20,
tab3_2,table,3,Метрики качества и интерпретации,,manual,scripts/make_ch3_tables.py,vkr/v2/artifacts/tables/tab3_2.tex,6bc6bd37aa842ffa,6c72587ba10d7bd8,frozen,body,2026-05-20,
fig4_1,figure,4,Архитектура системы / data flow,"Архитектура системы: поток данных от источников (Firebase BigQuery, Google Play Scraper, Kaggle, Google Trends + Wikipedia) через floodit_final.parquet и ноутбуки/src/ к results/ и Streamlit-демо. Диаграмма построена средствами PlantUML; терминология — на русском языке; стрелки расположены ортогонально без перекрытий.",custom,scripts/make_fig4_1.py,vkr/v2/artifacts/figures/fig4_1.pdf,f22aa9a0441e6f3d,c562545f48747d8e,frozen,body,2026-05-19,
fig4_2,figure,4,Структура программных модулей проекта,"Структура программных модулей: src/ — математическое ядро (4 модуля), notebooks/scripts/app — три потребителя, импортирующие ядро. Зависимости направлены строго в одну сторону. Детальный состав модулей и подмодулей вынесен в табл. 4.2.",custom,scripts/make_fig4_2.py,vkr/v2/artifacts/figures/fig4_2.pdf,9a1dc4a4d54b2ac0,9916c9dfce27e26d,frozen,body,2026-05-19,
fig4_3,figure,4,Логика Streamlit-демо как интерфейса к артефактам,"Streamlit-демо как схема запрос–ответ: пользователь → 4 страницы → 6 модулей lib/ → замороженные артефакты (запрос), и обратный поток ответа (графики, расчёт сценариев, данные моделей). lib/ не только читает артефакты, но и выполняет интерактивные расчёты what-if поверх замороженных моделей; артефакты при этом не перезаписываются.",custom,scripts/make_fig4_3.py,vkr/v2/artifacts/figures/fig4_3.pdf,d65d1ef6f9eaea1d,5f18eeeeda05286b,frozen,body,2026-05-19,
tab4_1,table,4,Технологический стек,Технологический стек: Python 3.12 + перечисленные библиотеки. Минимальные версии зафиксированы в requirements.txt. Точные версии — в requirements.lock.,manual,requirements.txt,vkr/v2/artifacts/tables/tab4_1.tex,852f4c90f383c51d,d2c444b3974b1593,frozen,body,2026-05-19,
tab4_2,table,4,Назначение модулей src/,"Назначение модулей src/ — математическое ядро системы. Все 4 модуля покрыты unit-тестами, импортируются ноутбуками и Streamlit-демо.",manual,scripts/make_ch4_tables.py,vkr/v2/artifacts/tables/tab4_2.tex,1e0b1c78abb49590,ae4a7d454a700a39,frozen,body,2026-05-19,
tab4_3,table,4,Реестр артефактов results/*,Реестр артефактов results/ (16 файлов) — single source of truth для всех таблиц и рисунков диплома. Каждый файл создаётся одним ноутбуком (фазы 04..08) и не модифицируется вручную.,inspection,results/,vkr/v2/artifacts/tables/tab4_3.tex,1e0b1c78abb49590,72e45c5660d49c9e,frozen,body,2026-05-19,
tab4_4,table,4,Тестирование и воспроизводимость,"Тестирование: 189 unit/integration тестов (pytest -v). Воспроизводимость: фиксированный seed=42, входные данные неизменны (data/processed/floodit_final.parquet), результаты регенерируются командами python -m nbconvert --execute --inplace ...",manual,scripts/make_ch4_tables.py,vkr/v2/artifacts/tables/tab4_4.tex,67bea2fa08fab00f,116b5161d845c1fc,frozen,body,2026-05-19,
fig5_1,figure,5,Сравнение качества моделей по парам,Относительный RMSE моделей по 6 парам (нормирован на лучшую в паре). Решает несравнимость абсолютных RMSE между DAU и долевыми метриками.,results,C:\7 семестр\пиздец\results\forecast_validation_recursive_summary.csv,C:\7 семестр\пиздец\vkr\v2\artifacts\figures\fig5_1.pdf,e993d7a392518056,566717b60f23f644,frozen,body,2026-05-18,
fig5_2,figure,5,Пример определения h_safe,"F1/DAU: каноническая h_safe-кривая. Multi-origin aggregated RMSE per h (notebook 05 _walk_forward_pair + _aggregate_rmse), threshold через _compute_thresholds, h_safe_A=2 дня из horizon_safe.csv.",results,C:\7 семестр\пиздец\results\horizon_curve_f1_dau.csv,C:\7 семестр\пиздец\vkr\v2\artifacts\figures\fig5_2.pdf,b752f0afa4e839a9,02249178889baf59,frozen,body,2026-05-18,
fig5_3,figure,5,Хороший прогноз (F1/stickiness),"F1/stickiness: рабочий recursive forecast (Ridge). h_safe=24 ≥ demo=14, поэтому весь demo-window попадает в safe-зону (голубой фон). X-axis zoom на последние 30 дн. истории + forecast; вертикальная линия — train/test split.",results,C:\7 семестр\пиздец\results\demo_forecast_predictions.csv,C:\7 семестр\пиздец\vkr\v2\artifacts\figures\fig5_3.pdf,9234e0b81ffc6383,a0a4d30d0a7fadd9,frozen,body,2026-05-18,
fig5_4,figure,5,Рискованный прогноз (F2/retention_d7),"F2/retention_d7: рискованный recursive forecast (NW). h_safe=0 — безопасного горизонта нет, весь demo-window лежит за пределами (красный фон). X-axis zoom на последние 30 дн. истории + forecast; вертикальная линия — train/test split.",results,C:\7 семестр\пиздец\results\demo_forecast_predictions.csv,C:\7 семестр\пиздец\vkr\v2\artifacts\figures\fig5_4.pdf,9234e0b81ffc6383,6183e8cc55553fa6,frozen,body,2026-05-18,
fig5_5,figure,5,SHAP сводка по сценариям,"Топ-10 SHAP-драйверов для модели F2/DAU. Зелёный — положительный вклад, красный — отрицательный.",results,C:\7 семестр\пиздец\results\scenario_shap_summary.csv,C:\7 семестр\пиздец\vkr\v2\artifacts\figures\fig5_5.pdf,aea0d03e122ebf83,05b409f85005c8db,frozen,body,2026-05-18,
fig5_6,figure,5,Распределение эффекта cross_product_mimic для F2/dau,"F2/DAU: каноническое MC-распределение эффекта cross_product_mimic (N=1000). Медиана и CI95 рассчитаны из raw simulation array, дампленного в Task 10.",results,C:\7 семестр\пиздец\results\mc_f2_dau_cross_product_mimic.csv,C:\7 семестр\пиздец\vkr\v2\artifacts\figures\fig5_6.pdf,69feb83216794f02,738a6ff05aa3bbbd,frozen,body,2026-05-18,
fig5_7,figure,5,Verdict-карточки F1 и F2,"Verdict-карточки обоих продуктов (M3): Flood-It! (DEVELOP) слева, Flood-It! 2 (DISCONTINUE) справа. Цветовой акцент в заголовке = вердикт. Полный разрез по M1/M2/M3 — см. tab5_6.",results,C:\7 семестр\пиздец\results\viability_summary.csv,C:\7 семестр\пиздец\vkr\v2\artifacts\figures\fig5_7.pdf,a32d38f3e7e66aea,fa578750339a73ea,frozen,body,2026-05-18,
fig5_8,figure,5,Сводный dashboard,Сводный dashboard: декомпозиция дней по продуктам (M3) + топ-3 сценария F2/DAU.,results,C:\7 семестр\пиздец\results\viability_summary.csv,C:\7 семестр\пиздец\vkr\v2\artifacts\figures\fig5_8.pdf,a32d38f3e7e66aea,f9247630ff36c0f0,frozen,body,2026-05-18,
tab5_1,table,5,Победители моделей по парам,Победители моделей по парам продукт-метрика,results,results/forecast_validation_recursive_summary.csv,vkr/v2/artifacts/tables/tab5_1.tex,e993d7a392518056,2200a4d426d92216,frozen,body,2026-05-18,
tab5_2,table,5,Безопасный горизонт h_safe,Безопасный горизонт h_safe по парам; рабочая модель = победитель tab5_1,results,results/horizon_safe.csv,vkr/v2/artifacts/tables/tab5_2.tex,6d248e048a8651be,f3404cef3c259f6f,frozen,body,2026-05-18,
tab5_3,table,5,Итоги recursive forecast по 6 парам,Полные результаты recursive forecast по 6 парам и моделям,results,results/forecast_validation_recursive_summary.csv,vkr/v2/artifacts/tables/tab5_3.tex,e993d7a392518056,c25c0a8175e870bf,frozen,body,2026-05-18,
tab5_4,table,5,Ключевые сценарии What-if,"Сценарии What-if: Baseline h14, Scenario h14, Δ%, CI95 h14, p > baseline",results,results/scenario_analysis_summary.csv,vkr/v2/artifacts/tables/tab5_4.tex,991309b7a58669ad,27ce2f3fc899d377,frozen,body,2026-05-18,
tab5_5,table,5,Рекомендации и анти-рекомендации,Рекомендации и анти-рекомендации (русифицированные заголовки),results,results/scenario_recommendations.csv,vkr/v2/artifacts/tables/tab5_5.tex,d35c35d4ad1682f0,fed9a324ec562daf,frozen,body,2026-05-18,Также использует results/scenario_avoid_actions.csv
tab5_6,table,5,Ablation M1/M2/M3,Ablation M1/M2/M3: вклад блоков признаков в verdict,results,results/viability_summary.csv,vkr/v2/artifacts/tables/tab5_6.tex,a32d38f3e7e66aea,251e3c221de322c0,frozen,body,2026-05-18,
fig6_1,figure,6,Почему in-app метрик недостаточно: M1 vs M3,"Per-day D² для M1/M2/M3: сравнение блоков признаков. M3 для F2 выявляет превышение порога T95, что M1 пропускает. Логарифмическая Y-шкала.",results,results/viability_scores.csv,vkr/v2/artifacts/figures/fig6_1.pdf,f5123e4a9ce9c024,b79f315c2f870c4d,frozen,body,2026-05-18,
tab6_1,table,6,"Итог по двум продуктам: прогноз, сценарии, verdict, решение","Сводка по двум продуктам (M3): Среднее D², доля плохих дней, дни DISCONTINUE, вердикт",results,results/viability_summary.csv,vkr/v2/artifacts/tables/tab6_1.tex,a32d38f3e7e66aea,fc2c22b21f4d2fd4,frozen,body,2026-05-18,
tab6_2,table,6,Три авторских вклада и полученный результат,Три авторских вклада работы и подтверждающие результаты на реальном кейсе Flood-It! / Flood-It! 2.,manual,scripts/make_ch6_tables.py,vkr/v2/artifacts/tables/tab6_2.tex,edee0c7382e43878,c6ef82cc3ac39377,frozen,body,2026-05-18,
tab6_3,table,6,Ограничения метода и условия применимости,Ограничения метода и условия применимости,manual,results/viability_summary.csv,vkr/v2/artifacts/tables/tab6_3.tex,a32d38f3e7e66aea,b3cf6a07f6eae503,frozen,body,2026-05-18,
